Time,Elapsed_Time,Event
2017-04-10-14:59:00,0:00:00,Background
2017-04-10-15:01:00,0:02:00,24' Straight Stream Fixed
2017-04-10-15:02:00,0:03:00,No Action
2017-04-10-15:03:00,0:04:00,48' Straight Stream Fixed
2017-04-10-15:04:00,0:05:00,No Action
2017-04-10-15:06:00,0:07:00,End Experiment
