Time,Elapsed_Time,Event
2017-04-10-12:21:00,0:00:00,Background
2017-04-10-12:23:00,0:02:00,Straight Stream Max Angle Fixed
2017-04-10-12:24:00,0:03:00,Straight Stream Max Angle Sweeping
2017-04-10-12:25:00,0:04:00,No Action
2017-04-10-12:26:00,0:05:00,Narrow Fog Whip
2017-04-10-12:27:01,0:06:00,No Action
2017-04-10-12:29:00,0:08:00,End Experiment
