Time,Elapsed_Time,Event
2017-04-10-14:18:00,0:00:00,Background
2017-04-10-14:20:00,0:02:00,Smooth Bore Max Angle Fixed
2017-04-10-14:21:01,0:03:00,Smooth Bore Max Angle Sweeping
2017-04-10-14:22:01,0:04:00,No Action
2017-04-10-14:23:02,0:05:00,Half Bale Whip
2017-04-10-14:24:03,0:06:00,No Action
2017-04-10-14:26:00,0:08:00,End Experiment
