Time,Elapsed_Time,Event
2017-04-10-14:09:00,0:00:00,Background
2017-04-10-14:11:00,0:02:00,Smooth Bore Max Angle Fixed
2017-04-10-14:12:02,0:03:00,Smooth Bore Max Angle Sweeping
2017-04-10-14:13:02,0:04:00,No Action
2017-04-10-14:14:03,0:05:00,Half Bale Whip
2017-04-10-14:15:03,0:06:00,No Action
2017-04-10-14:17:00,0:08:00,End Experiment
