Time,Elapsed_Time,Event
2017-04-10-12:12:00,0:00:00,Background
2017-04-10-12:14:00,0:02:00,Straight Stream Max Angle Fixed
2017-04-10-12:15:00,0:03:00,Straight Stream Max Angle Sweeping
2017-04-10-12:16:01,0:04:00,No Action
2017-04-10-12:17:01,0:05:00,Narrow Fog Whip
2017-04-10-12:18:01,0:06:00,No Action
2017-04-10-12:20:00,0:08:00,End Experiment
