Time,Elapsed_Time,Event
2017-04-10-10:55:00,0:00:00,Background
2017-04-10-10:57:00,0:02:00,At Window Straight Stream Fixed
2017-04-10-10:58:00,0:03:00,At Window Straight Stream 'O'
2017-04-10-10:59:00,0:04:00,At Window Narrow Fog Fixed
2017-04-10-11:00:01,0:05:00,At Window Narrow Fog 'O'
2017-04-10-11:01:01,0:06:00,No Action
2017-04-10-11:02:01,0:07:00,6' Straight Stream Fixed
2017-04-10-11:03:01,0:08:00,6' Straight Stream 'O'
2017-04-10-11:04:01,0:09:00,6' Narrow Fog Fixed
2017-04-10-11:05:01,0:10:00,6' Narrow Fog 'O'
2017-04-10-11:06:01,0:11:00,No Action
2017-04-10-11:07:01,0:12:00,12' Straight Stream Fixed
2017-04-10-11:08:11,0:13:00,12' Straight Stream 'O'
2017-04-10-11:09:11,0:14:00,12' Narrow Fog Fixed
2017-04-10-11:10:11,0:15:00,12' Narrow Fog 'O'
2017-04-10-11:11:12,0:16:00,No Action
2017-04-10-11:13:00,0:18:00,End Experiment
