Experiment_Type,Test_Name,Original_Name,Test_Config,Location,Top_Vent,Bottom_Vent,Nozzle_Size,Manufacturer,Generic_Name,Nozze_Type,Tip_Size,Flow_Rate,Pressure,BDP_Res,Time_Offset,Date_Time_Start,Temp_C
Geometry_Tests,Exp_50_102815,1_5 Automatic Nozzle 150GPM 75PSI_2015-10-28-0948,,Exterior,Single Window,Double Window,1.5,TFT,Man. I,Combination,,150,75,H,0,10/28/15 9:48,16.67
Geometry_Tests,Exp_51_102815,1_5 Automatic Nozzle 150GPM 75PSI_2015-10-28-1000,,Exterior,Single Door,Double Window,1.5,TFT,Man. I,Combination,,150,75,H,0,10/28/15 10:00,16.67
Geometry_Tests,Exp_52_102815,1_5 Smooth Bore 15_16in 180GPM 50PSI_2015-10-28-1019,,Exterior,Single Door,Double Window,1.5,TFT,Man. I,Smooth Bore,15/16,180,50,H,0,10/28/15 10:19,16.67
Geometry_Tests,Exp_53_102815,1_5 Smooth Bore 15_16in 180GPM 50PSI_2015-10-28-1036,,Exterior,Single Door,Single Window,1.5,TFT,Man. I,Smooth Bore,15/16,180,50,H,0,10/28/15 10:36,16.67
Geometry_Tests,Exp_54_102815,1_5 Automatic 150GPM 75PSI_2015-10-28-1042,,Exterior,Single Door,Single Window,1.5,TFT,Man. I,Combination,,150,75,H,1,10/28/15 10:42,17.78
Geometry_Tests,Exp_55_102815,1_5 Automatic 150GPM 75PSI_2015-10-28-1050,,Exterior,No Opening,Single Window,1.5,TFT,Man. I,Combination,,150,75,H,0,10/28/15 10:50,17.78
Geometry_Tests,Exp_56_102815,1_5 Smooth Bore 15_16in 180GPM 50PSI_2015-10-28-1100,,Exterior,No Opening,Single Window,1.5,TFT,Man. I,Smooth Bore,15/16,180,50,H,1,10/28/15 11:00,17.78
Geometry_Tests,Exp_57_102815,1_5 Smoother Bore 15_16  180GPM 50 PSI_2015-10-28-1304,,Transitional,No Opening,Single Window,1.5,TFT,Man. I,Smooth Bore,15/16,180,50,H,0,10/28/15 13:04,18.89
Geometry_Tests,Exp_58_102815,1_5 Automatic Nozzle 150GPM 75PSI_2015-10-28-1315,,Transitional,No Opening,Single Window,1.5,TFT,Man. I,Combination,,150,75,H,0,10/28/15 13:15,18.89
Geometry_Tests,Exp_59_102815,1_5 Automatic Nozzle 150GPM 75PSI_2015-10-28-1323,,Transitional,Single Door,Single Window,1.5,TFT,Man. I,Combination,,150,75,H,0,10/28/15 13:23,18.89
Geometry_Tests,Exp_60_102815,1_5 Smooth Bore 15_16 180GPM 50PSI_2015-10-28-1334,,Transitional,Single Door,Single Window,1.5,TFT,Man. I,Smooth Bore,15/16,180,50,H,1,10/28/15 13:34,18.89
Geometry_Tests,Exp_61_102815,1_5 Smooth Bore 15_16 180GPM 50PSI_2015-10-28-1342,,Transitional,Single Window,Single Window,1.5,TFT,Man. I,Smooth Bore,15/16,180,50,H,1,10/28/15 13:42,18.89
Geometry_Tests,Exp_62_102815,1_5 Automatic Nozzle 150GPM 50PSI_2015-10-28-1351,,Transitional,Single Window,Single Window,1.5,TFT,Man. I,Combination,,150,75,H,0,10/28/15 13:51,18.89
Geometry_Tests,Exp_63_102815,2_5 Automatic Nozzle 250GPM 75PSI_2015-10-28-1414,,Exterior,Single Door,Single Window,2.5,TFT,Man. I,Combination,,250,75,H,0,10/28/15 14:14,18.89
Geometry_Tests,Exp_64_102815,2_5 Automatic Nozzle 250GPM 75PSI_2015-10-28-1425,,Exterior,Single Window,Single Door,2.5,TFT,Man. I,Combination,,250,75,H,0,10/28/15 14:25,18.89
Geometry_Tests,Exp_65_102815,2_5 Smooth Bore 1 1_4in 320GPM 50PSI_2015-10-28-1435,,Exterior,Single Window,Single Door,2.5,TFT,Man. I,Smooth Bore,1 1/4,320,50,H,0,10/28/15 14:35,18.89
Geometry_Tests,Exp_66_102815,Portable Monitor Automatic 500GPM 75PSI_2015-10-28-1447,,Exterior,Single Window,Single Door,PM,TFT,Man. I,Combination,,500,80,H,2,10/28/15 14:47,18.89
Geometry_Tests,Exp_67_102815,Portable Monitor 1 3_8in 500GPM 80PSI_2015-10-28-1455,,Exterior,Single Window,Single Door,PM,TFT,Man. I,Smooth Bore,1 3/8,500,80,H,8,10/28/15 14:55,18.89
Geometry_Tests,Exp_68_102815,Portable Monitor 1 3_8in 500GPM 80PSI_2015-10-28-1511,,Exterior,Single Door,Single Window,PM,TFT,Man. I,Smooth Bore,1 3/8,500,80,H,1,10/28/15 15:11,20
Geometry_Tests,Exp_69_102815,Portable Monitor Automatic 500GPM 80PSI_2015-10-28-1524,,Exterior,Single Door,Single Window,PM,TFT,Man. I,Combination,,500,80,H,1,10/28/15 15:25,20
Geometry_Tests,Exp_70_102815,1_5 Automatic 150GPM 75PSI_2015-10-28-1614,,Interior,Double Door,Double Door,1.5,TFT,Man. I,Combination,,150,75,H,1,10/28/15 16:14,20.56
Geometry_Tests,Exp_71_102815,1_5 Automatic 150GPM 75PSI_2015-10-28-1621,,Interior,Single Door,Double Door,1.5,TFT,Man. I,Combination,,150,75,H,1,10/28/15 16:21,20.56
Geometry_Tests,Exp_72_102815,1_5 Automatic 150GPM 75PSI_2015-10-28-1630,,Interior,Single Door,Single Door,1.5,TFT,Man. I,Combination,,150,75,H,1,10/28/15 16:30,20.56
Geometry_Tests,Exp_73_102815,1_5 Automatic 150GPM 75PSI_2015-10-28-1645,,Interior,No Opening,Single Door,1.5,TFT,Man. I,Combination,,150,75,H,0,10/28/15 16:45,20.56
Geometry_Tests,Exp_74_102815,1_5 Automatic 150GPM 75PSI_2015-10-28-1652,,Interior,No Opening,Double Door,1.5,TFT,Man. I,Combination,,150,75,H,0,10/28/15 16:52,21.11
Geometry_Tests,Exp_75_102815,1_5 Automatic 150GPM 75PSI_2015-10-28-1659,,Interior,No Opening,Single Window,1.5,TFT,Man. I,Combination,,150,75,H,1,10/28/15 16:59,21.11
Geometry_Tests,Exp_76_102815,1_5 Automatic 150GPM 75PSI_2015-10-28-1731,,Interior,Single Door,Single Window,1.5,TFT,Man. I,Combination,,150,75,H,0,10/28/15 17:31,21.11
Geometry_Tests,Exp_77_102815,1_5 Automatic 150GPM 75PSI_2015-10-28-1738,,Interior,Double Door,Single Window,1.5,TFT,Man. I,Combination,,150,75,H,0,10/28/15 17:38,21.11
Geometry_Tests,Exp_78_102815,1_5 Automatic 150GPM 75PSI_2015-10-28-1745,,Interior,Double Door,Single Door,1.5,TFT,Man. I,Combination,,150,75,H,0,10/28/15 17:45,21.11
Geometry_Tests,Exp_79_102815,1_5 Automatic 150GPM 75PSI_2015-10-28-1755,,Interior,Controlled Door,Single Window,1.5,TFT,Man. I,Combination,,150,75,H,0,10/28/15 17:55,21.11
Geometry_Tests,Exp_80_102815,1_5 Smooth Bore 15_16in 180GPM 50PSI_2015-10-28-1842,,Interior,Controlled Door,Single Window,1.5,TFT,Man. I,Smooth Bore,15/16,180,50,H,0,10/28/15 18:42,21.67
Geometry_Tests,Exp_81_102815,1_5 Smooth Bore 15_16in 180GPM 50PSI_2015-10-28-1847,,Interior,Single Door,Single Window,1.5,TFT,Man. I,Smooth Bore,15/16,180,50,H,1,10/28/15 18:47,21.67
Geometry_Tests,Exp_82_102815,1_5 Smooth Bore 15_16in 180GPM 50PSI_2015-10-28-1852,,Interior,Double Door,Single Window,1.5,TFT,Man. I,Smooth Bore,15/16,180,50,H,0,10/28/15 18:52,21.67
Geometry_Tests,Exp_83_102815,1_5 Smooth Bore 15_16in 180GPM 50PSI_2015-10-28-1902,,Interior,Single Door,Double Window,1.5,TFT,Man. I,Smooth Bore,15/16,180,50,H,0,10/28/15 19:02,21.11
Geometry_Tests,Exp_84_102815,1_5 Automatic Nozzle 150GPM 75PSI_2015-10-28-1908,,Interior,Single Door,Double Window,1.5,TFT,Man. I,Combination,,150,75,H,0,10/28/15 19:08,21.11
Bedroom_Setup,Exp_85_102915,1_5 Automatic Nozzle 150GPM 75PSI_2015-10-29-1117,,Interior,,,1.5,TFT,Man. I,Combination,,150,75,H,4,10/29/15 11:17,20
Bedroom_Setup,Exp_86_102915,1_5 Smooth Bore 180GPM 50PSI_2015-10-29-1131,,Interior,,,1.5,TFT,Man. I,Smooth Bore,15/16,180,50,H,2,10/29/15 11:31,20
Bedroom_Setup,Exp_87_102915,1_5 Smooth Bore 180GPM 50PSI_2015-10-29-1141,,Interior,,,1.5,TFT,Man. I,Smooth Bore,15/16,180,50,H,0,10/29/15 11:41,20
Bedroom_Setup,Exp_88_102915,1_5 Automatic Nozzle 180GPM 50PSI_2015-10-29-1353,,Interior,,,1.5,TFT,Man. I,Combination,,150,50,H,0,10/29/15 13:54,21.11
Bedroom_Setup,Exp_89_102915,1_5 Automatic Nozzle 180GPM 50PSI_2015-10-29-1405,,Interior,,,1.5,TFT,Man. I,Combination,,150,50,H,1,10/29/15 14:05,21.11
Bedroom_Setup,Exp_90_102915,1_5 Smooth Bore Nozzle 180GPM 50PSI_2015-10-29-1414,,Interior,,,1.5,TFT,Man. I,Smooth Bore,15/16,180,50,H,1,10/29/15 14:14,21.11
Bedroom_Setup,Exp_91_102915,1_5 Smooth Bore Nozzle 180GPM 50PSI_2015-10-29-1426,,Interior,,,1.5,TFT,Man. I,Combination,,150,50,H,1,10/29/15 14:26,21.11
Bedroom_Setup,Exp_92_102915,1_5 Automatic Nozzle150GPM 50PSI_2015-10-29-1436,,Exterior,,,1.5,TFT,Man. I,Combination,,150,50,H,1,10/29/15 14:36,21.11
Manufacturer,,1_5_TFTComb_150GPM_75PSI,ignore,Exterior,,,1.5,TFT,Man. I,Combination,,150,75,H,,,
Geometry_Tests,,,ignore,Exterior,Single Door,Single Window,2.5,TFT,Man. I,Smooth Bore ,1 1/4,320,50,H,,,
