Plot_Name,Chart_Title,Chart_Status,Chart_Type,Legend,Legend_Location,Experiments_To_Compare,Bars,Anomalies,Anomaly_Exp,New_Bars,Max,Min
Total_Entrainment_2_5_Combination_Nozzle_Exterior,"2.5"" Combination Nozzle Exterior",,Total Air Entrainment,250 gpm @ 75 psi,upper left,Exp_39_102715,1|2|3|4|5|6,0,,,25000,0
Total_Entrainment_2_5_Smooth_Bore_Nozzle_Exterior,"2.5"" Smooth Bore Nozzle Exterior",,Total Air Entrainment,320 gpm @ 50 psi,upper left,Exp_40_102715,1|2,0,,,20000,0
1_5_2_5_Smooth_Bore_Nozzle_Exterior,,,Total Air Entrainment,180 gpm @ 50 psi|320 gpm @ 50 psi,upper left,Exp_38_102715|Exp_40_102715,1|2,0,,,20000,0
Room_Configuration_1_5_Combination_Nozzle_Interior_1,"1.5"" Combination Nozzle Interior",ignore,Room Configuration,150gpm @ 50psi,center left,Exp_88_102915,1|3|6|7,0,,,1000,-2000
Room_Configuration_1_5_Combination_Nozzle_Interior_2,"1.5"" Combination Nozzle Interior",ignore,Room Configuration,150gpm @ 50psi,center left,Exp_89_102915,1|3,0,,,1000,-2000
Room_Configuration_1_5_Combination_Nozzle_Interior_3,"1.5"" Combination Nozzle Interior",ignore,Room Configuration,150gpm @ 50psi,center left,Exp_91_102915,1|3|4|6,0,,,1000,-2000
Room_Configuration_1_5_Combination_Nozzle_Interior_4,"1.5"" Combination Nozzle Interior",ignore,Room Configuration,150gpm @ 75psi,center left,Exp_85_102915,1|3|5|7,0,,,1000,-2000
Room_Configuration_1_5_Combination_Nozzle_Exterior,"1.5"" Combination Nozzle Exterior",ignore,Room Configuration,150gpm @ 50psi,center left,Exp_92_102915,1|3|5|7,0,,,1000,-2000
Vent_Configuration_1_5_Combination_Nozzle_Interior,"1.5"" Combination Nozzle Interior: 150gpm @ 75psi",,Vent Configuration,"CDT,SWB|DDT,DDB|DDT,SDB|DDT,SWB|NDT,DDB|NDT,SDB|NDT,SWB|SDT,DDB|SDT,SDB|SDT,DWB|SDT,SWB",center left,Exp_79_102815|Exp_70_102815|Exp_78_102815|Exp_77_102815|Exp_74_102815|Exp_73_102815|Exp_75_102815|Exp_71_102815|Exp_72_102815|Exp_84_102815|Exp_76_102815,1|2|3|4,0,,,15000,0
Vent_Configuration_1_5_Combination_Nozzle_Interior_Controlled_Door,"1.5"" Combination Nozzle Interior: 150gpm @ 75psi",,Vent Configuration,"CDT,SWB",center left,Exp_79_102815,1|2|3|4,0,,,15000,0
