Time,Elapsed_Time,Event
2017-03-13-08:36:00,0:02:00,Ignition
2017-03-13-08:40:31,0:06:30,Hall Door Closed
2017-03-13-08:41:01,0:07:00,Hall Door Open
2017-03-13-08:42:01,0:08:00,Hall Door Closed
2017-03-13-08:43:01,0:09:00,Hall Door Open
2017-03-13-08:44:00,0:10:00,Hall Door Closed
2017-03-13-08:45:01,0:11:00,Hall Door Open
2017-03-13-08:47:01,0:13:00,Exterior Suppression
2017-03-13-08:56:16,0:22:00,End Experiment
