Time,Elapsed_Time,Event
2017-03-09-11:40:01,0:02:00,Ignition
2017-03-09-11:45:01,0:07:00,Exterior Suppression
2017-03-09-12:01:06,0:23:00,Second Ignition
2017-03-09-12:07:00,0:27:00,Exterior Suppression
2017-03-09-12:20:19,0:42:20,Exterior Suppression
2017-03-09-12:24:00,0:46:00,End Experiment
