Experiment_Type,Test_Name,Original_Name,Test_Config,Location,Top_Vent,Bottom_Vent,Nozzle_Size,Manufacturer,Generic_Name,Nozze_Type,Tip_Size,Flow_Rate,Pressure,
Manufacturer,Exp_41_102715,Portable Monitor Automatic Nozzle 500GPM 75PSI_2015-10-27-2017,,Exterior,,,PM,TFT,Man. I,Combination,,500,75,
Manufacturer,Exp_42_102715,Portable Monitor Smooth Bore 500GPM 75PSI_2015-10-27-2026,,Exterior,,,PM,TFT,Man. I,Smooth Bore,,500,80,
Bedroom_Setup,Exp_86_102915,1_5 Smooth Bore 180GPM 50PSI_2015-10-29-1131,,Interior,,,1.5,TFT,Man. I,Smooth Bore,15/16,180,50,
Bedroom_Setup,Exp_87_102915,1_5 Smooth Bore 180GPM 50PSI_2015-10-29-1141,,Interior,,,1.5,TFT,Man. I,Smooth Bore,15/16,180,50,
Bedroom_Setup,Exp_90_102915,1_5 Smooth Bore Nozzle 180GPM 50PSI_2015-10-29-1414,,Interior,,,1.5,TFT,Man. I,Smooth Bore,15/16,180,50,
Bedroom_Setup,Exp_91_102915,1_5 Smooth Bore Nozzle 180GPM 50PSI_2015-10-29-1426,,Interior,,,1.5,TFT,Man. I,Combination,,150,50,
Bedroom_Setup,Exp_88_102915,1_5 Automatic Nozzle 180GPM 50PSI_2015-10-29-1353,,Interior,,,1.5,TFT,Man. I,Combination,,150,50,
Bedroom_Setup,Exp_89_102915,1_5 Automatic Nozzle 180GPM 50PSI_2015-10-29-1405,,Interior,,,1.5,TFT,Man. I,Combination,,150,50,
Bedroom_Setup,Exp_85_102915,1_5 Automatic Nozzle 150GPM 75PSI_2015-10-29-1117,,Interior,,,1.5,TFT,Man. I,Combination,,150,75,
Bedroom_Setup,Exp_92_102915,1_5 Automatic Nozzle150GPM 50PSI_2015-10-29-1436,,Exterior,,,1.5,TFT,Man. I,Combination,,150,50,
Distance_Tests,Exp_02_102615,1.5 Automatic 150GPM 100 PSI - Distance Test_2015-10-26-1322,,Interior,,,1.5,TFT,Man. I,Combination,,150,100,
Distance_Tests,Exp_01_102615,1.5 Automatic 150GPM 50 PSI - Distance Test_2015-10-26-1258,,Interior,,,1.5,TFT,Man. I,Combination,,150,50,
Door_Occlusion_Test,Exp_03_102615,1.5 Automatic 150GPM 100 PSI - Opening Occlusion Test_2015-10-26-1339,,Interior,,,1.5,TFT,Man. I,Combination,,150,100,
Nozzle_Movement,Exp_25_102715,1.75 Smooth Bore 1in 210GPM 50PSI - Patter Speed Test_2015-10-27-0912,,Interior,,,1.5,TFT,Man. I,Smooth Bore,1,210,50,rev speed
Nozzle_Movement,Exp_26_102715,1.75 Smooth Bore 1in 210GPM 50PSI - Spray and Pray Test_2015-10-27-0923,,Interior,,,1.5,TFT,Man. I,Smooth Bore,1,210,50,spray pray
Geometry_Tests,Exp_79_102815,1_5 Automatic 150GPM 75PSI_2015-10-28-1755,,Interior,Controlled Door,Single Window,1.5,TFT,Man. I,Combination,,150,75,
Geometry_Tests,Exp_70_102815,1_5 Automatic 150GPM 75PSI_2015-10-28-1614,,Interior,Double Door,Double Door,1.5,TFT,Man. I,Combination,,150,75,
Geometry_Tests,Exp_78_102815,1_5 Automatic 150GPM 75PSI_2015-10-28-1745,,Interior,Double Door,Single Door,1.5,TFT,Man. I,Combination,,150,75,
Geometry_Tests,Exp_77_102815,1_5 Automatic 150GPM 75PSI_2015-10-28-1738,,Interior,Double Door,Single Window,1.5,TFT,Man. I,Combination,,150,75,
Geometry_Tests,Exp_74_102815,1_5 Automatic 150GPM 75PSI_2015-10-28-1652,,Interior,No Opening,Double Door,1.5,TFT,Man. I,Combination,,150,75,
Geometry_Tests,Exp_73_102815,1_5 Automatic 150GPM 75PSI_2015-10-28-1645,,Interior,No Opening,Single Door,1.5,TFT,Man. I,Combination,,150,75,
