Experiment,Vent,Location
Experiment_4,No_Vent,Floor
Experiment_6,No_Vent,Floor
Experiment_7,Single_Vent,Spool
Experiment_10,Single_Vent,Spool
Experiment_11,Single_Vent,Spool
Experiment_13,Two_Vent,Night Stand
Experiment_16,Two_Vent,Floor
Experiment_18,Single_Vent,Floor
Experiment_19,Single_Vent,Floor
Experiment_20,Single_Vent,Night Stand
Experiment_21,Single_Vent,Spool
