Event,Time
Ignition,02:03.0
Short Wide Pulse,07:49.0
Short Wide Pulse,08:02.0
Long Wide Pulse,08:16.0
Long Wide Pulse,08:31.0
Circles Wide Pulse,08:58.0
Circles Wide Pulse,10:40.0
Back Wall Sweep (x2),12:24.0
Back Wall Sweep (x2),13:17.0
End Experiment,25:00.0
