Original_Test_Name,Test_Number,Test_Config,Location,Vent_Configuration,Nozzle_Position,Nozzle_Pattern,Nozzle_Direction,Hose_Line_Size,Nozzle_Type,Tip_Size_(in),Nozzle_Pressure_(psi),Flow_Rate_(gpm),Notes,Actual_Flow,Flow_Correction,Pump_Setting
15-12-08_162547_Datafile,48,,Exterior,"Open Door, Open Window",First Floor,Fixed,Max Angle Ceiling,1 3/4,Straight Stream,,25,130,Approx. 30 seconds,134,1,
15-12-09_101601_Datafile,49,,Interior,"Open Door, Open Window",At Room Entrance,Fixed,Mid Ceiling,1 3/4,Straight Stream,,100,125,,159 (~33 leak),1,69
15-12-09_102308_Datafile,50,,Interior,"Open Door, Open Window",At Room Entrance,O,Mid Ceiling,1 3/4,Straight Stream,,100,125,,135 (~6 leak),1,67.6
15-12-09_102830_Datafile,51,,Interior,"Open Door, Open Window",At Room Entrance,Z,Mid Ceiling,1 3/4,Straight Stream,,100,125,,135 (~6 leak),1,67.6
15-12-09_103306_Datafile,52,,Interior,"Open Door, Open Window",At Room Entrance,T,Mid Ceiling,1 3/4,Straight Stream,,100,125,,135 (~6 leak),1,67.6
15-12-09_103649_Datafile,53,,Interior,"Open Door, Open Window",At Room Entrance,Inverted U,Mid Ceiling,1 3/4,Straight Stream,,100,125,,135 (~6 leak),1,67.6
15-12-09_104315_Datafile,54,,Interior,"Open Door, Open Window",At Room Entrance,Fixed,Mid Ceiling,1 3/4,Fog,,100,125,,135 (~6 leak),1,67.6
15-12-09_104806_Datafile,,ignore,,,,,,,,,,,,,,
15-12-09_112850_Datafile,55,,Interior,"Open Door, Open Window",At Room Entrance,Fixed,Mid Ceiling,1 3/4,Straight Stream,,100,150,,161 (~6 leak),1,70.5
15-12-09_113335_Datafile,56,,Interior,"Open Door, Open Window",At Room Entrance,O,Mid Ceiling,1 3/4,Straight Stream,,100,150,,161 (~6 leak),1,70.5
15-12-09_113802_Datafile,57,,Interior,"Open Door, Open Window",At Room Entrance,Fixed,Mid Ceiling,1 3/4,Fog,,100,150,,161 (~6 leak),1,70.5
15-12-09_114240_Datafile,58,,Interior,"Open Door, Open Window",At Room Entrance,O,Mid Ceiling,1 3/4,Fog,,100,150,,161 (~6 leak),1,70.5
15-12-09_115707_Datafile,59,,Interior,"Open Door, Open Window",At Room Entrance,Fixed,Mid Ceiling,1 3/4,Straight Stream,,75,150,,157 (~6 leak),1,64.7
15-12-09_120229_Datafile,60,,Interior,"Open Door, Open Window",At Room Entrance,O,Mid Ceiling,1 3/4,Straight Stream,,75,150,,157 (~6 leak),1,64.7
15-12-09_120821_Datafile,61,,Interior,"Open Door, Open Window",At Room Entrance,Fixed,Mid Ceiling,1 3/4,Fog,,75,150,,157 (~6 leak),1,64.7
15-12-09_121309_Datafile,62,,Interior,"Open Door, Open Window",At Room Entrance,O,Mid Ceiling,1 3/4,Fog,,75,150,,157 (~6 leak),1,64.7
15-12-09_121955_Datafile,63,,Interior,"Open Door, Open Window",At Room Entrance,Fixed,Mid Ceiling,1 3/4,Straight Stream,,50,150,,171 (~6 leak),1,61.2
15-12-09_122551_Datafile,64,,Interior,"Open Door, Open Window",At Room Entrance,O,Mid Ceiling,1 3/4,Straight Stream,,50,150,,171 (~6 leak),1,61.2
15-12-09_123142_Datafile,65,,Interior,"Open Door, Open Window",At Room Entrance,Fixed,Mid Ceiling,1 3/4,Fog,,50,150,,171 (~6 leak),1,61.2
15-12-09_123636_Datafile,66,,Interior,"Open Door, Open Window",At Room Entrance,O,Mid Ceiling,1 3/4,Fog,,50,150,,171 (~6 leak),1,61.2
15-12-09_142948_Datafile,67,,Interior,"Open Door, Open Window",At Room Entrance,Fixed,At Wall,1 3/4,Smooth Bore,15/16,50,180,,191,1,66.1
15-12-09_143335_Datafile,,ignore,,,,,,,,,,,,,,
15-12-09_143524_Datafile,,ignore,,,,,,,,,,,,,,
15-12-09_144524_Datafile,68,,Interior,"Open Door, Open Window",At Room Entrance,O,At Wall,1 3/4,Smooth Bore,15/16,50,180,,191,1,66.1
15-12-09_144839_Datafile,69,,Interior,"Open Door, Open Window",At Room Entrance,Fixed,Mid Ceiling,1 3/4,Smooth Bore,15/16,50,180,,191,1,66.1
15-12-09_145534_Datafile,70,,Interior,"Open Door, Open Window",At Room Entrance,O,Mid Ceiling,1 3/4,Smooth Bore,15/16,50,180,,191,1,66.1
15-12-09_145932_Datafile,71,,Interior,"Open Door, Open Window",At Room Entrance,Fixed,Max Angle Ceiling,1 3/4,Smooth Bore,15/16,50,180,,191,1,66.1
