Time,Temp
204,113
205,116
206,122
207,131
208,127
209,131
210,132
211,140
212,141
213,159
214,154
215,158
216,170
217,174
218,179
219,185
220,190
221,195
222,199
223,206
224,213
225,213
226,219
227,257
228,266
229,273
230,264
231,266
232,260
233,287
234,300
235,294
236,321
237,325
238,334
239,334
240,342
241,336
242,321
243,343
244,336
245,370
246,356
247,402
248,354
249,347
250,332
251,336
252,332
253,343
254,357
255,320
256,334
257,271
258,278
259,260
260,249
261,244
262,255
263,222
264,217
