Time,Hall,Front
5,59,55
10,59,55
15,59,55
20,59,55
25,59,55
30,59,55
35,59,55
40,59,55
45,59,55
50,59,55
55,59,55
60,59,55
65,59,55
70,59,55
75,59,55
80,59,55
85,59,55
90,59,55
95,59,55
100,59,55
105,59,55
110,60,55
115,60,55
120,60,55
125,60,55
130,60,55
135,60,55
140,60,55
145,60,55
150,62,55
155,62,55
160,64,55
165,68,55
170,68,57
175,77,57
180,80,57
185,91,57
190,104,59
195,123,60
200,152,62
205,203,64
210,248,68
215,365,66
220,413,71
225,492,75
230,579,78
235,570,82
240,500,82
245,557,82
250,510,89
255,415,95
260,543,96
265,460,104
270,296,109
275,375,105
280,251,113
285,298,113
290,226,109
295,163,114
300,179,114
305,154,113
310,140,113
315,147,113
320,120,113
325,122,109
330,104,111
335,107,109
340,102,105
345,102,98
350,98,96
355,95,93
360,93,95
365,95,89
370,93,86
375,91,87
380,89,87
385,89,87
390,87,86
395,86,86
400,84,86
405,86,87
410,84,87
415,84,87
420,82,86
425,82,87
430,82,87
435,82,89
440,82,87
445,82,89
450,82,89
455,82,89
460,82,89
465,82,89
470,84,91
475,84,91
480,84,93
485,84,93
490,84,93
495,86,95
500,87,96
505,87,96
510,87,98
515,89,96
520,104,98
525,91,104
530,102,102
535,98,100
540,93,91
545,95,100
550,98,96
555,98,89
560,71,89
565,93,87
570,95,86
574,93,87
