Time,Event
2015-10-26-16:20:18,Background
2015-10-26-16:21:18,Smooth Bore
2015-10-26-16:22:18,Smooth Bore 'O'
2015-10-26-16:23:19,Smooth Bore 'Z' 
2015-10-26-16:24:19,Smooth Bore 'n'
2015-10-26-16:25:21,Nozzle Off
2015-10-26-16:26:22,End Test
