Time,Event
2015-10-28-07:45:55,Background
2015-10-28-07:47:04,Straight Stream
2015-10-28-07:48:15,Straight Stream 'O'
2015-10-28-07:49:25,Straight Stream 'Z'
2015-10-28-07:50:27,Straight Stream 'n'
2015-10-28-07:51:27,Narrow Fog
2015-10-28-07:52:32,Narrow Fog 'O'
2015-10-28-07:53:31,Nozzle Off
2015-10-28-07:54:32,End Test
