Time,Event
2015-10-26-13:39:57,Background
2015-10-26-13:41:12,Wide Fog
2015-10-26-13:42:26,Narrow Fog
2015-10-26-13:43:25,Straight Stream
2015-10-26-13:44:23,Nozzle Off
2015-10-26-13:45:31,End Test
