Time,Event
2015-10-26-15:17:49,Background
2015-10-26-15:18:49,Straight Stream
2015-10-26-15:19:49,Straight Stream 'O'
2015-10-26-15:20:50,Straight Stream 'Z'
2015-10-26-15:21:50,Straight Stream 'n'
2015-10-26-15:22:52,Narrow Fog
2015-10-26-15:23:52,Narrow Fog 'O'
2015-10-26-15:24:53,Nozzle Off
2015-10-26-15:25:54,End Test
