Time,Event
2015-10-27-08:15:39,Background
2015-10-27-08:16:39,Straight Stream
2015-10-27-08:17:39,Straight Stream 'O'
2015-10-27-08:18:50,Narrow Fog
2015-10-27-08:19:50,Narrow Fog 'O'
2015-10-27-08:20:51,Nozzle Off
2015-10-27-08:21:51,End Test
