Time,Event
2015-10-28-08:28:40,Background
2015-10-28-08:29:40,Straight Stream
2015-10-28-08:30:41,Straight Stream 'O'
2015-10-28-08:31:45,Straight Stream 'Z'
2015-10-28-08:32:45,Straight Stream 'n'
2015-10-28-08:33:47,Narrow Fog
2015-10-28-08:34:52,Narrow Fog 'O'
2015-10-28-08:35:54,Nozzle Off
2015-10-28-08:37:40,End Test
