Time,Event
2015-10-28-07:32:10,Background
2015-10-28-07:33:36,Nozzle On
2015-10-28-07:34:36,Straight Stream 'O'
2015-10-28-07:35:37,Straight Stream 'Z'
2015-10-28-07:36:37,Straight Stream 'n'
2015-10-28-07:37:39,Narrow Fog
2015-10-28-07:38:44,Narrow Fog 'O'
2015-10-28-07:39:44,Nozzle Off
2015-10-28-07:40:53,End Test
