Time,Elapsed Time,BDP1V,BDP2V,BDP3V,BDP4V,BDP5V,PressureV,Matrix1VLR,Matrix2VLR,Matrix3VLR,Matrix4VLR,Matrix5VLR,Matrix1VHR,Matrix2VHR,Matrix3VHR,Matrix4VHR,Matrix5VHR,Matrix5PressLR,Matrix4PressLR,Matrix3PressLR,Matrix2PressLR,Matrix1PressLR,Matrix5VelLR,Matrix4VelLR,Matrix3VelLR,Matrix2VelLR,Matrix1VelLR,Matrix5FlowLR,Matrix4FlowLR,Matrix3FlowLR,Matrix2FlowLR,Matrix1FlowLR,TotalFlowLR,Matrix5PressHR,Matrix4PressHR,Matrix3PressHR,Matrix2PressHR,Matrix1PressHR,Matrix5VelHR,Matrix4VelHR,Matrix3VelHR,Matrix2VelHR,Matrix1VelHR,Matrix5FlowHR,Matrix4FlowHR,Matrix3FlowHR,Matrix2FlowHR,Matrix1FlowHR,TotalFlowHR,Pressure,BDP1Vel,BDP2Vel,BDP3Vel,BDP4Vel,BDP5Vel,BDP1Flow,BDP2Flow,BDP3Flow,BDP4Flow,BDP5Flow,TotalBDPFlow
2015-10-27 13:15:32,00:00:00,2.489586671,2.502993655,2.497804224,2.502734232,2.481392839,2.505069911,2.502581355,2.49208709,2.492333832,2.48182533,2.49594949,2.486262405,2.492861378,2.48906996,2.494588116,2.496465886,-8.10102E-05,-0.000363493,-0.000153323,-0.000158258,5.16271E-05,-28.83781513,-61.08587096,-39.67314847,-40.30654895,23.02138124,-76.70858826,-162.4884168,-105.5305749,-107.2154202,61.23687411,-390.706126,-0.000706823,-0.001082377,-0.002186008,-0.001427724,-0.002747519,-85.18199332,-105.4099865,-149.8022649,-121.0639136,-167.9433669,-260.6568996,-301.4725613,-428.4344775,-346.2427928,-480.3180294,-1817.124761,0.05049631,-75.4166566,40.43648178,-34.6311136,38.6447156,-100.8120695,-215.6916379,115.6483379,-99.0449849,110.5238866,-308.4849327,-397.0033513
2015-10-27 13:15:33,00:00:01,2.490960251,2.499636171,2.497041124,2.501360522,2.478645935,2.518653735,2.504565416,2.492544886,2.490349771,2.482435825,2.49427063,2.485346663,2.492861378,2.4893752,2.494435513,2.496313258,-0.000114587,-0.000351284,-0.000193005,-0.000149102,9.13083E-05,-34.29738008,-60.05115785,-44.51191857,-39.1232253,30.6159465,-91.23103103,-159.7360799,-118.4017034,-104.0677793,81.43841768,-391.9981759,-0.000737348,-0.001112897,-0.00212496,-0.001427724,-0.002930667,-87.00192247,-106.8858099,-147.6957105,-121.0639136,-173.4505854,-266.2258828,-305.6934163,-422.4097319,-346.2427928,-496.0686742,-1836.640498,0.1857912,-70.2668766,-14.09682347,-40.20090794,27.25996224,-107.9972637,-200.9632671,-40.31691514,-114.9745967,77.963492,-330.4716269,-608.6184345
2015-10-27 13:15:34,00:00:02,2.48806047,2.500246622,2.494904443,2.49540778,2.490854397,2.754157566,2.504870656,2.495596858,2.490807631,2.483656814,2.496407361,2.485346663,2.494234894,2.490290921,2.495045922,2.496618513,-7.18528E-05,-0.000326864,-0.000183847,-8.80628E-05,9.74131E-05,-27.15903215,-57.9263102,-43.44314151,-30.06691242,31.62286747,-72.24302552,-154.0839851,-115.5587564,-79.97798705,84.11682747,-337.7469267,-0.000676297,-0.000990816,-0.001941816,-0.001153021,-0.002930667,-83.3223227,-100.8530213,-141.1875911,-108.7955554,-173.4505854,-254.9663074,-288.439641,-403.7965105,-311.1552883,-496.0686742,-1754.426422,2.531409357,-80.7543809,11.60616697,-52.75556953,-50.0822454,-70.6770876,-230.9575294,33.19363753,-150.8809289,-143.2352218,-216.271888,-707.8965632
2015-10-27 13:15:35,00:00:03,2.491875972,2.499178332,2.504366888,2.487928695,2.506725398,2.584283448,2.507617818,2.49986962,2.494012653,2.489761761,2.499307211,2.486262405,2.493777055,2.48906996,2.495351127,2.497076395,-1.38558E-05,-0.000204765,-0.000119747,-2.60761E-06,0.000152356,-11.92636507,-45.84797368,-35.0610338,-5.173845175,39.54784255,-31.72413108,-121.95561,-93.2623499,-13.76242816,105.1972612,-155.507258,-0.000584721,-0.000929775,-0.002186008,-0.001244589,-0.002747519,-77.47594387,-97.69703011,-149.8022649,-113.0330584,-167.9433669,-237.0763882,-279.4135061,-428.4344775,-323.2745471,-480.3180294,-1748.516948,0.839463143,-66.6128755,-21.18461918,48.83807035,-81.19879472,60.60820917,-190.5128239,-60.58801086,139.6768812,-232.2285529,185.4611201,-158.0129738
2015-10-27 13:15:36,00:00:04,2.489586671,2.498110041,2.496888504,2.497544662,2.495279964,2.446613678,2.507923058,2.500785211,2.493402173,2.490372255,2.499612458,2.485957158,2.494692733,2.48983306,2.494130309,2.497229022,-7.75084E-06,-0.000192555,-0.000131957,1.57042E-05,0.000158461,-8.920041902,-44.46003394,-36.80509781,12.69699124,40.3323867,-23.72731146,-118.2636903,-97.90156018,33.7739967,107.2841486,-98.83441659,-0.000554196,-0.001173938,-0.002033388,-0.001061453,-0.002808568,-75.42651623,-109.7779513,-144.4783007,-104.3861745,-169.7989542,-230.8051397,-313.9649406,-413.2079401,-298.5444592,-485.6250091,-1742.147489,0.53172777,-75.4166566,-32.1291035,-41.22466244,-36.62082392,-50.77443593,-215.6916379,-91.889236,-117.9025346,-104.7355564,-155.3697739,-685.3134672
2015-10-27 13:15:37,00:00:05,2.495844094,2.502535816,2.499025185,2.493423533,2.489786157,2.443255878,2.507159958,2.499259225,2.493402173,2.490372255,2.499154587,2.486109782,2.49454012,2.48906996,2.495503729,2.497229022,-1.69083E-05,-0.000192555,-0.000131957,-1.48155E-05,0.000143199,-13.17473726,-44.46003394,-36.80509781,-12.33248478,38.34093765,-35.04480111,-118.2636903,-97.90156018,-32.80440952,101.9868941,-182.0275669,-0.000554196,-0.000899254,-0.002186008,-0.001091976,-0.002778044,-75.42651623,-96.08016747,-149.8022649,-105.876374,-168.8737092,-230.8051397,-274.789279,-428.4344775,-302.8064297,-482.9788084,-1719.814134,0.56517145,-47.64368307,37.21614436,-23.07456775,-59.93338179,-74.69079299,-136.2609336,106.4381729,-65.99326375,-171.4094719,-228.5538266,-495.6405886
2015-10-27 13:15:38,00:00:06,2.486229029,2.499788784,2.497804224,2.50441321,2.485207983,2.411204158,2.506091617,2.49544426,2.496301954,2.488235524,2.499612458,2.485804534,2.493624442,2.48983306,2.495351127,2.497229022,-7.75084E-06,-0.00023529,-7.39609E-05,-9.11148E-05,0.000121832,-8.920041902,-49.14663642,-27.55457019,-30.58348573,35.36501117,-23.72731146,-130.7300529,-73.2951567,-81.35207205,94.07092971,-215.0336634,-0.000554196,-0.000929775,-0.002033388,-0.001275112,-0.002839093,-75.42651623,-97.69703011,-144.4783007,-114.4106876,-170.7191847,-230.8051397,-279.4135061,-413.2079401,-327.2145666,-488.2568683,-1738.898021,0.884406585,-86.72708667,-10.7407889,-34.6311136,49.096413,-89.88478127,-248.0394679,-30.71865625,-99.0449849,140.4157412,-275.0474307,-512.3115551
2015-10-27 13:15:39,00:00:07,2.491875972,2.503909333,2.497346364,2.491439286,2.502452436,2.455008176,2.506091617,2.495596858,2.495844094,2.488693395,2.499459834,2.485651911,2.494387507,2.48891734,2.494130309,2.497229022,-1.08033E-05,-0.000226132,-8.31181E-05,-8.80628E-05,0.000121832,-10.53103345,-48.18075671,-29.21059207,-30.06691242,35.36501117,-28.01254899,-128.1608128,-77.7001749,-79.97798705,94.07092971,-219.7805941,-0.000554196,-0.001173938,-0.002216532,-0.001122499,-0.002869618,-75.42651623,-109.7779513,-150.8445106,-107.3458882,-171.6344814,-230.8051397,-313.9649406,-431.4153005,-307.0092404,-490.8746169,-1774.069238,0.448118568,-66.6128755,46.20870453,-38.0708998,-68.37974263,36.59917526,-190.5128239,132.1568949,-108.8827734,-195.5660639,111.9934763,-250.6229341
2015-10-27 13:15:40,00:00:08,2.485618548,2.502688429,2.501467106,2.495255146,2.489633551,2.418225011,2.507312578,2.493918274,2.495691474,2.4880829,2.498696716,2.486567653,2.493471829,2.490290921,2.4935199,2.497076395,-2.60657E-05,-0.000238342,-8.61705E-05,-0.000121635,0.000146252,-16.35788055,-49.46440528,-29.74211614,-35.33628966,38.74741647,-43.51196226,-131.575318,-79.11402893,-93.9945305,103.0681278,-245.1277119,-0.000584721,-0.00129602,-0.001941816,-0.001305634,-0.002686469,-77.47594387,-115.3448873,-141.1875911,-115.7719249,-166.0670471,-237.0763882,-329.8863777,-403.7965105,-331.1077051,-474.9517547,-1776.818736,0.814478889,-88.62858872,38.31967232,28.30761432,-50.90774908,-75.24670449,-253.4777637,109.5942628,80.95977695,-145.5961624,-230.2549157,-438.6665456
2015-10-27 13:15:41,00:00:09,2.489434051,2.497346977,2.496735884,2.501513156,2.497569051,2.654797233,2.509449259,2.496359851,2.497065055,2.490067008,2.501901813,2.483209932,2.484315054,2.489985681,2.49626674,2.497229022,3.80363E-05,-0.00019866,-5.86989E-05,-7.2803E-05,0.000188985,19.76020303,-45.15933629,-24.54751354,-27.33802003,44.0459902,52.56214006,-120.1238345,-65.29638601,-72.71913327,117.1623339,-88.41487983,-0.000554196,-0.000746652,-0.002002864,-0.003136989,-0.003358014,-75.42651623,-87.54908923,-143.3897889,-179.452298,-185.6665778,-230.8051397,-250.3903952,-410.0947961,-513.2335723,-531.0064125,-1935.530316,1.541780439,-75.96730802,-38.06650393,-42.22360226,28.74844609,-36.43849162,-217.2665009,-108.8702012,-120.7595025,82.22055582,-111.5017844,-475.988106
