,Time,Event,Elapsed_Time,CFM_Avg
0,2015-10-28-07:22:48,Background,2.0,-1266.2106911483775
1,2015-10-28-07:23:49,Straight Stream,63.0,13118.013464553725
2,2015-10-28-07:25:02,Straight Stream 'O',136.0,20628.170839666902
3,2015-10-28-07:26:02,Straight Stream 'Z',196.0,15320.769483649156
4,2015-10-28-07:27:03,Straight Stream 'n',257.0,20131.87375103798
5,2015-10-28-07:28:10,Narrow Fog,324.0,25808.536822460897
6,2015-10-28-07:29:10,Narrow Fog 'O',384.0,26983.083650618155
7,2015-10-28-07:30:14,Nozzle Off,448.0,635.556841161329
8,2015-10-28-07:31:14,End Test,508.0,NaN
