Time,Event
2015-10-26-17:06:24,Background
2015-10-26-17:07:25,Straight Stream
2015-10-26-17:08:33,Straight Stream 'O'
2015-10-26-17:09:35,Narrow Fog
2015-10-26-17:10:35,Narrow Fog 'O'
2015-10-26-17:11:37,Nozzle Off
2015-10-26-17:12:38,End Test
