,Time,Event,Elapsed_Time,CFM_Avg
0,2015-10-26-12:58:37,Background,1.0,-1053.3176233641198
1,2015-10-26-12:59:34,Setback 3',58.0,12441.135744363504
2,2015-10-26-13:00:34,Nozzle off,118.0,-1614.2116875363517
3,2015-10-26-13:01:30,Setback 6',174.0,18901.142159902498
4,2015-10-26-13:02:31,Nozzle Off,235.0,-1278.2126273395188
5,2015-10-26-13:03:14,Setback 9',278.0,25059.70162012317
6,2015-10-26-13:04:14,Nozzle Off,338.0,-1695.3052754304686
7,2015-10-26-13:05:16,Setback 12',400.0,23864.28600701802
8,2015-10-26-13:06:16,Nozzle Off,460.0,-3731.1820941310784
9,2015-10-26-13:07:27,Setback 15',531.0,23791.444972795023
10,2015-10-26-13:08:27,Nozzle Off,591.0,NaN
