Time,Event
2015-10-27-16:39:00,Background
2015-10-27-16:40:13,End Background
2015-10-27-16:41:40,Nozzle On
2015-10-27-16:42:46,Narrow Fog
2015-10-27-16:43:47,Nozzle Off
2015-10-27-16:44:49,End Test
