Time,Event
2015-10-28-16:45:24,Background
2015-10-28-16:46:25,Straight Stream
2015-10-28-16:47:25,Straight Stream 'O'
2015-10-28-16:48:25,Narrow Fog
2015-10-28-16:49:25,Narrow Fog 'O'
2015-10-28-16:50:26,Nozzle Off
2015-10-28-16:51:26,End Test
