,Time,Event,Elapsed_Time,CFM_Avg
0,2015-10-27-20:17:15,Background,0.0,-3594.5728247404163
1,2015-10-27-20:18:15,Nozzle On,60.0,26522.904097940198
2,2015-10-27-20:19:15,Nozzle Off,120.0,-4916.910411827767
3,2015-10-27-20:20:15,End Test,180.0,NaN
