Time,Event
2015-10-28-15:25:01,Background
2015-10-28-15:26:01,Straight Stream
2015-10-28-15:27:01,Narrow Fog
2015-10-28-15:28:02,Nozzle Off
2015-10-28-15:29:02,End Test
