,Time,Event,Elapsed_Time,CFM_Avg
0,2015-10-28-13:04:22,Background,0.0,-116.12914749997884
1,2015-10-28-13:05:22,Standing Straight Through,60.0,2168.9185125834065
2,2015-10-28-13:06:29,Nozzle Off,127.0,330.5749352955449
3,2015-10-28-13:06:59,Ceiling Attack 8' In,157.0,2266.9895659812128
4,2015-10-28-13:07:59,Nozzle Off,217.0,-429.0638912910672
5,2015-10-28-13:08:39,Ceiling Attack,257.0,1624.5031106458127
6,2015-10-28-13:09:41,Nozzle Off,319.0,-451.50134001287523
7,2015-10-28-13:10:41,End Test,379.0,NaN
