,Time,Event,Elapsed_Time,CFM_Avg
0,2015-10-28-08:14:55,Background,1.0,-2332.0952644458985
1,2015-10-28-08:15:55,Straigtht Stream,61.0,14372.58695726474
2,2015-10-28-08:16:55,Straight Stream 'O',121.0,23456.744876349658
3,2015-10-28-08:17:56,Straight Stream 'Z',182.0,18229.739021304154
4,2015-10-28-08:18:59,Straight Stream 'n',245.0,22792.951032331046
5,2015-10-28-08:19:59,Straight Stream 'n',305.0,22279.813972622644
6,2015-10-28-08:21:00,Narrow Fog,366.0,28041.029576978406
7,2015-10-28-08:22:06,Narrow Fog 'O',432.0,26092.633711225044
8,2015-10-28-08:23:09,Nozzle Off,495.0,-4198.128673034536
9,2015-10-28-08:24:09,End Test,555.0,NaN
