Time,Elapsed Time,PressureV,BDP1VLR,BDP2VLR,BDP3VLR,BDP4VLR,BDP5VLR,BDP1VHR,BDP2VHR,BDP3VHR,BDP4VHR,BDP5VHR,Pressure,BDP1VelLR,BDP2VelLR,BDP3VelLR,BDP4VelLR,BDP5VelLR,BDP1FlowLR,BDP2FlowLR,BDP3FlowLR,BDP4FlowLR,BDP5FlowLR,TotalBDPFlowLR,BDP1VelHR,BDP2VelHR,BDP3VelHR,BDP4VelHR,BDP5VelHR,BDP1FlowHR,BDP2FlowHR,BDP3FlowHR,BDP4FlowHR,BDP5FlowHR,TotalBDPFlowHR
2015-10-28 07:22:57,00:00:11,2.442492742,2.498765853,2.540155655,2.480429466,2.484267309,2.508312007,2.489009631,2.495303185,2.48891734,2.496571944,2.49845004,0.572772287,115.3797078,117.0122897,91.14202742,109.9292038,114.8415541,329.9859644,334.6551485,260.6661984,314.3975227,351.4151555,1591.11999,49.59353076,38.04870597,-17.1916504,42.3563431,48.02870768,141.837498,108.8192991,-49.16812016,121.1391413,146.9678455,469.5956637
2015-10-28 07:22:58,00:00:12,2.293070674,2.499528953,2.538782268,2.491112871,2.477399244,2.496254737,2.489009631,2.495303185,2.490748781,2.495198524,2.49677114,2.061016082,116.278949,115.399125,105.940112,101.0422326,99.48415251,332.5577942,330.0414975,302.9887203,288.9807854,304.4215067,1558.990304,49.59353076,38.04870597,14.29713205,37.67138338,42.99346284,141.837498,108.8192991,40.88979766,107.7401565,131.5599963,530.8467475
2015-10-28 07:22:59,00:00:13,2.403267542,2.507159958,2.54412322,2.48806047,2.483351567,2.490760286,2.489314878,2.497287153,2.490290921,2.496419342,2.497076395,0.963455285,124.9158281,121.5523429,101.9315421,108.7862287,91.63612253,357.2592683,347.6397006,291.5242105,311.1286142,280.4065349,1587.958329,50.42665021,44.60160159,8.911665258,41.86169229,43.95188913,144.2202196,127.5605805,25.48736264,119.72444,134.4927808,551.4853835
2015-10-28 07:23:00,00:00:14,2.115107313,2.498765853,2.533899112,2.495538854,2.48014647,2.494575877,2.487941266,2.493319216,2.490901401,2.495656331,2.496618513,3.833531164,115.3797078,109.4710769,111.496843,104.6875905,97.15342727,329.9859644,313.0872799,318.880971,299.4065088,297.2894874,1558.650211,46.56036555,30.10158115,15.68666272,39.29514835,42.50614651,133.1626455,86.0905221,44.86385537,112.3841243,130.0688083,506.5699555
2015-10-28 07:23:01,00:00:15,2.255219119,2.489608648,2.528863358,2.495996714,2.481977954,2.489234049,2.487788642,2.496066249,2.491054021,2.494282911,2.496160631,2.438017575,103.9840028,103.0010571,112.0559512,107.0488867,89.33384108,297.394248,294.5830232,320.4800205,306.1598161,273.3615537,1491.978661,46.11077163,40.69411839,16.96274711,34.19330357,41.00946749,131.8768069,116.3851786,48.51345673,97.79284821,125.4889705,520.0572609
2015-10-28 07:23:02,00:00:16,2.083055592,2.47465188,2.516350271,2.465777938,2.443974662,2.450467639,2.485804534,2.494387507,2.487848999,2.488941834,2.490971305,4.152766299,82.03450129,84.81331986,65.62912871,32.93985063,-51.0119312,234.6186737,242.5660948,187.6993081,94.2079728,-156.0965095,602.9955399,39.80661167,34.60831304,-24.23214106,-16.99606345,16.28355995,113.8469094,98.9797753,-69.30392342,-48.60874148,49.82769345,144.7417132
2015-10-28 07:23:03,00:00:17,2.191726187,2.423066291,2.458362795,2.417702611,2.408718596,2.385755206,2.480310082,2.488740829,2.483880877,2.484821575,2.484408334,3.070407175,-85.74713172,-92.93313257,-93.89775935,-92.40907861,-142.3654237,-245.2367967,-265.7887591,-268.5475917,-264.2899648,-435.6381964,-1479.501309,9.200472037,-18.54018027,-40.87107928,-37.59848666,-39.0698858,26.31335002,-53.02491556,-116.8912868,-107.5316718,-119.5538506,-370.6883747
2015-10-28 07:23:04,00:00:18,1.965532618,2.403836161,2.438524974,2.386568114,2.379567477,2.376292539,2.480920577,2.494082281,2.479912755,2.481464327,2.485781979,5.323295127,-112.2593395,-118.5413334,-131.5907417,-128.4419488,-151.1658207,-321.0617109,-339.0282135,-376.3495212,-367.3439736,-462.5674115,-1866.350831,15.85264022,33.38281644,-52.47564753,-48.27145769,-33.93328416,45.33855104,95.47485501,-150.0803519,-138.056369,-103.8358495,-251.1591644
2015-10-28 07:23:05,00:00:19,2.076034739,2.415740527,2.458057598,2.389620516,2.383077821,2.406206777,2.481988943,2.495455797,2.480217995,2.481464327,2.488681897,4.222693995,-96.70787926,-93.38030957,-128.3855726,-124.6557399,-121.1812158,-276.5845347,-267.0676854,-367.1827376,-356.5154162,-370.8145203,-1638.164894,23.30143463,38.59229813,-51.67559171,-48.27145769,-18.96908045,66.64210303,110.3739727,-147.7921923,-138.056369,-58.04538616,-166.8778718
2015-10-28 07:23:06,00:00:20,2.573599541,2.441838562,2.480794792,2.414497589,2.426880812,2.420858649,2.48397305,2.494997959,2.483728257,2.487110608,2.490055542,0.733051431,-47.20139941,-50.12891683,-98.44653707,-59.84460458,-103.3687896,-134.9960023,-143.3687021,-281.557096,-171.1555691,-316.3084962,-1047.385866,32.93317148,36.93753007,-41.37763314,-28.08502104,3.893865644,94.18887043,105.641336,-118.3400308,-80.32316017,11.91522887,13.08224436
