Time,Event
2015-10-26-16:40:24,Background
2015-10-26-16:41:26,Smooth Bore
2015-10-26-16:42:26,Smooth Bore 'O'
2015-10-26-16:43:26,Smooth Bore 'Z'
2015-10-26-16:44:27,Smooth Bore 'n'
2015-10-26-16:45:27,Nozzle Off
