Time,Event
2015-10-27-12:50:03,Background
2015-10-27-12:51:04,Straight Stream
2015-10-27-12:52:12,Straight Stream 'O'
2015-10-27-12:53:13,Straight Stream 'Z'
2015-10-27-12:54:14,Straight Stream 'n'
2015-10-27-12:55:15,Narrow Fog
2015-10-27-12:56:15,Narrow Fog 'O'
2015-10-27-12:57:15,Nozzle Off
2015-10-27-12:58:15,End Test
