Time,Event
2015-10-27-20:03:05,Background
2015-10-27-20:04:09,Smooth Bore Fixed
2015-10-27-20:05:08,Smooth Bore 'O' 
2015-10-27-20:06:08,Smooth Bore 'Z' 
2015-10-27-20:07:07,Smooth Bore 'n' 
2015-10-27-20:08:07,Nozzle Off
