,Time,Event,Elapsed_Time,CFM_Avg
0,2015-10-29-11:41:49,Background,0.0,-209.09656526873047
1,2015-10-29-11:42:50,'O' Pattern Advance,61.0,-200.84430668830714
2,2015-10-29-11:43:38,End Advance,109.0,-1911.5010448001904
3,2015-10-29-11:44:39,End Test,170.0,NaN
