Time,Event
2015-10-28-14:25:32,Background
2015-10-28-14:26:33,Straight Stream
2015-10-28-14:27:33,Straight Stream 'O'
2015-10-28-14:28:34,Narrow Fog
2015-10-28-14:29:34,Narrow Fog 'O'
2015-10-28-14:30:34,Nozzle Off
2015-10-28-14:31:35,End Test
