,Time,Event,Elapsed_Time,CFM_Avg
0,2015-10-26-13:22:24,Background,2.0,-1802.810937417238
1,2015-10-26-13:23:28,Setback 3',66.0,9732.179884397865
2,2015-10-26-13:24:32,Nozzle off,130.0,-2653.9786541780736
3,2015-10-26-13:26:00,Setback 6',218.0,16826.078197343355
4,2015-10-26-13:27:15,Nozzle Off,293.0,-731.077861947537
5,2015-10-26-13:28:25,Setback 9',363.0,21935.457477466436
6,2015-10-26-13:29:31,Nozzle Off,429.0,-1629.1625478527192
7,2015-10-26-13:31:28,Setback 12',546.0,25699.417238667633
8,2015-10-26-13:32:28,Nozzle Off,606.0,-1528.56383996152
9,2015-10-26-13:34:56,Setback 15',754.0,29389.960648423694
10,2015-10-26-13:36:19,Nozzle Off,837.0,NaN
