Time,Event
2015-10-27-13:07:19,Background
2015-10-27-13:08:21,Nozzle On
2015-10-27-13:09:31,'O' Pattern
2015-10-27-13:10:41,'Z' Pattern
2015-10-27-13:11:41,'n' Pattern
2015-10-27-13:12:42,Nozzle Off
2015-10-27-13:13:42,End Test
