Time,Event
2015-10-26-17:23:22,Background
2015-10-26-17:24:29,Straight Stream
2015-10-26-17:25:34,Straight Stream 'O'
2015-10-26-17:26:34,Narrow Fog
2015-10-26-17:27:34,Narrow Fog 'O'
2015-10-26-17:28:33,Nozzle Off
2015-10-26-17:29:36,End Test
