,Time,Event,Elapsed_Time,CFM_Avg
0,2015-10-27-08:15:39,Background,1.0,-452.5425506846385
1,2015-10-27-08:16:39,Straight Stream,61.0,8636.003637567092
2,2015-10-27-08:17:39,Straight Stream 'O',121.0,27074.70594784832
3,2015-10-27-08:18:50,Narrow Fog,192.0,32445.240585683634
4,2015-10-27-08:19:50,Narrow Fog 'O',252.0,47263.61936517215
5,2015-10-27-08:20:51,Nozzle Off,313.0,1515.1635533635524
6,2015-10-27-08:21:51,End Test,373.0,NaN
