Time,Event
2015-10-28-19:08:08,Background
2015-10-28-19:09:08,Straight Stream
2015-10-28-19:10:09,Straight Stream 'O'
2015-10-28-19:11:09,Narrow Fog
2015-10-28-19:12:11,Narrow Fog 'O'
2015-10-28-19:13:12,Nozzle Off
2015-10-28-19:14:15,End Test
