Time,Event
2015-10-27-07:52:54,Background
2015-10-27-07:53:55,Straight Stream
2015-10-27-07:55:00,Straight Stream 'O'
2015-10-27-07:56:00,Narrow Fog
2015-10-27-07:57:10,Narrow Fog 'O'
2015-10-27-07:58:16,Nozzle Off
2015-10-27-07:59:20,End Test
