Time,Elapsed Time,BDP1V,BDP2V,BDP3V,BDP4V,BDP5V,BDP1Vel,BDP2Vel,BDP3Vel,BDP4Vel,BDP5Vel,BDP1Flow,BDP2Flow,BDP3Flow,BDP4Flow,BDP5Flow,TotalBDPFlow
2015-10-27 20:26:33,00:00:22,2.495386234,2.500704461,2.505435229,2.500139447,2.511608782,-49.85098822,19.47935375,54.10717824,8.666629552,79.07502069,-142.5738263,55.71095172,154.7465298,24.78656052,241.9695633,335.2393827
2015-10-27 20:26:34,00:00:23,2.489891911,2.50375672,2.502077587,2.504718479,2.501078984,-73.78711227,44.98320406,33.4522672,50.41351507,24.1075711,-211.0311411,128.6519636,95.6734842,144.1826531,73.76916758,232.2650499
2015-10-27 20:26:35,00:00:24,2.492333832,2.503451494,2.510624311,2.514029177,2.500163349,-64.2591747,43.11709991,75.64781291,86.92847809,9.380036201,-183.7812396,123.3149058,216.3527449,248.6154473,28.70291077,435.8220158
2015-10-27 20:26:36,00:00:25,2.487449989,2.499330945,2.503451167,2.504871113,2.514050475,-82.21821174,-18.98352756,43.11506011,51.22241927,86.99443648,-235.1440856,-54.29288883,123.3090719,146.4961191,266.2029756,246.4441688
2015-10-27 20:26:37,00:00:26,2.491570732,2.509556011,2.50757191,2.508839607,2.511761388,-67.38153797,71.74378827,63.86290857,69.00212556,79.59307265,-192.7111986,205.1872344,182.6479185,197.3460791,243.5548023,638.564233
2015-10-27 20:26:38,00:00:27,2.492028592,2.497804816,2.509403351,2.508686973,2.515729138,-65.5259764,-34.38598597,71.16841571,68.40379812,92.04462761,-187.4042925,-98.34391988,203.5416689,195.6348626,281.6565605,395.8187944
2015-10-27 20:26:39,00:00:28,2.494775753,2.501620139,2.50726667,2.502581597,2.508556667,-53.04663164,29.5407896,62.56244114,37.28981388,67.88882489,-151.7133665,84.48665825,178.9285817,106.6488677,207.7398042,427.5033391
2015-10-27 20:26:40,00:00:29,2.490807631,2.504061946,2.501314486,2.500444716,2.519239071,-70.36548718,46.77491839,26.6087214,15.47701317,101.797715,-201.2452933,133.7762666,76.10094321,44.26425767,311.5010078,364.7394359
2015-10-27 20:26:41,00:00:30,2.493860033,2.506198527,2.505435229,2.513266005,2.494211724,-57.50809752,57.7816873,54.10717824,84.53100988,-55.8368096,-164.4731589,165.2556257,154.7465298,241.7586882,-170.8606374,228.9976162
2015-10-27 20:26:42,00:00:31,2.485618548,2.500399235,2.497651604,2.495255146,2.512829628,-88.01310496,14.66427223,-35.56572159,-50.55421876,83.129089,-251.7174802,41.93981857,-101.7179638,-144.5850657,254.3750123,-204.6566556
2015-10-27 20:26:43,00:00:32,2.482260907,2.49124246,2.497498984,2.501818425,2.496500811,-97.7488578,-68.68107014,-36.70322299,31.29635037,-43.41399017,-279.5617333,-196.4278606,-104.9712177,89.50756207,-132.8468099,-627.4799074
2015-10-27 20:26:44,00:00:33,2.494775753,2.496278686,2.504672128,2.502428963,2.498026868,-53.04663164,-44.77072418,50.16529289,36.17065779,-32.60048108,-151.7133665,-128.0442712,143.4727377,103.4480813,-99.75747212,-132.8067547
2015-10-27 20:26:45,00:00:34,2.491875972,2.498262654,2.497956844,2.497697296,2.501994619,-66.15028049,-30.59067697,-33.17391297,-35.21802498,32.77750585,-189.1898022,-87.48933614,-94.8773911,-100.7235514,100.2991679,-375.0367047
2015-10-27 20:26:46,00:00:35,2.494928374,2.500857074,2.501314486,2.505329016,2.5120666,-52.26604158,21.48598133,26.6087214,53.57590353,80.61919033,-149.4808789,61.44990661,76.10094321,153.2270841,246.6947224,388.9060111
2015-10-27 20:26:47,00:00:36,2.497675535,2.505893301,2.501467106,2.500902619,2.524427667,-35.3840451,56.34109553,28.11103129,22.04947029,114.7062229,-101.198369,161.1355332,80.39754948,63.06148503,351.0010421,555.7132744
2015-10-27 20:26:48,00:00:37,2.490960251,2.502841042,2.506656189,2.512808102,2.517560407,-69.77890627,39.11873745,59.87683141,83.05931873,97.25529951,-199.5676719,111.8795891,171.2477378,237.5496516,297.6012165,620.7881952
2015-10-27 20:26:49,00:00:38,2.497828155,2.506198527,2.504977368,2.513418639,2.515271321,-34.20269905,57.7816873,51.77807124,85.01591242,90.69519568,-97.81971928,165.2556257,148.0852838,243.1455095,277.5272988,739.1617076
