Time,Elapsed Time,BDP1V,BDP2V,BDP3V,BDP4V,BDP5V,PressureV,Pressure,BDP1Vel,BDP2Vel,BDP3Vel,BDP4Vel,BDP5Vel,BDP1Flow,BDP2Flow,BDP3Flow,BDP4Flow,BDP5Flow,TotalBDPFlow
2015-10-27 19:50:23,00:00:21,2.48897619,2.502230591,2.529854442,2.537076971,2.497111234,2.496675412,0.033112892,-77.05695354,34.66218307,126.8091116,141.318202,-39.44592846,-220.3828871,99.13384357,362.6740592,404.1700576,-120.7045411,529.0677232
2015-10-27 19:50:24,00:00:22,2.493554793,2.503451494,2.532601603,2.514639714,2.514355686,2.494080749,0.058955737,-58.92022853,43.11709991,132.5151283,88.79986059,87.93422891,-168.5118536,123.3149058,378.9932671,253.9676013,269.0787405,860.6456673
2015-10-27 19:50:25,00:00:23,2.497980775,2.502688429,2.522681298,2.525018853,2.510998359,2.496370158,0.036153227,-32.97906301,38.05356026,110.5299398,116.085956,76.96795195,-94.32012021,108.8331824,316.1156279,332.0058342,235.521933,902.4438985
2015-10-27 19:50:26,00:00:24,2.48912881,2.50375672,2.523291778,2.51830294,2.514966109,2.489807187,0.101520421,-76.52168362,44.98320406,112.007552,99.2902053,89.78430756,-218.8520151,128.6519636,320.3415986,283.9699871,274.7399811,792.177969
2015-10-27 19:50:27,00:00:25,2.496607194,2.502383203,2.536111865,2.530055788,2.515118715,2.489959814,0.100000254,-42.74895115,35.82832826,139.4668341,127.2360107,90.24090093,-122.2620003,102.4690188,398.8751456,363.8949906,276.1371569,1023.921594
2015-10-27 19:50:28,00:00:26,2.491570732,2.503451494,2.524817979,2.526697832,2.526258937,2.496370158,0.036153227,-67.38153797,43.11709991,115.6189948,119.9178897,118.9281186,-192.7111986,123.3149058,330.670325,342.9651645,363.9200428,972.0688457
2015-10-27 19:50:29,00:00:27,2.493402173,2.506045914,2.514592434,2.516471327,2.513745263,2.495454394,0.045274231,-59.6137514,57.06593744,88.65634921,94.19118884,86.04438008,-170.495329,163.2085811,253.5571587,269.3868001,263.295803,782.2894686
2015-10-27 19:50:30,00:00:28,2.48882357,2.504214559,2.511540032,2.515097618,2.515881744,2.498354312,0.016391052,-77.58853082,47.64551565,78.84052098,90.1779155,92.49006319,-221.9031981,136.2661748,225.48389,257.9088383,283.0195934,683.3488954
2015-10-27 19:50:31,00:00:29,2.48760261,2.504367172,2.515202914,2.512197564,2.523512033,2.493775495,0.061996071,-81.71675665,48.50048796,90.49183585,81.05550869,112.535895,-233.709924,138.7113956,258.8066505,231.8187549,344.3598388,742.5465386
2015-10-27 19:50:32,00:00:30,2.494165273,2.502841042,2.515660774,2.527461004,2.513287446,2.492249222,0.077197744,-56.06040697,39.11873745,91.8443816,121.619772,84.59929308,-160.3327639,111.8795891,262.6749314,347.8325478,258.8738368,824.5647988
