Time,Event
2015-10-26-15:30:45,Background
2015-10-26-15:31:46,Straight Stream
2015-10-26-15:32:46,Straight Stream 'O'
2015-10-26-15:33:46,Straight Stream 'Z'
2015-10-26-15:34:51,Straight Stream 'n'
2015-10-26-15:35:53,Narrow Fog
2015-10-26-15:36:54,Narrow Fog 'O'
2015-10-26-15:37:54,Nozzle Off
2015-10-26-15:38:55,End Test
