Time,Event
2015-10-26-17:14:37,Background
2015-10-26-17:15:37,Straight Stream
2015-10-26-17:16:38,Straight Stream 'O'
2015-10-26-17:17:39,Narrow Fog
2015-10-26-17:18:39,Narrow Fog 'O'
2015-10-26-17:19:40,Nozzle Off
2015-10-26-17:20:41,End Test
