Time,Event
2015-10-28-10:19:03,Background
2015-10-28-10:20:04,Nozzle On
2015-10-28-10:21:07,'O' Pattern
2015-10-28-10:22:08,Nozzle Off
2015-10-28-10:23:08,End Test
