Time,Event
2015-10-28-13:15:18,Background
2015-10-28-13:16:18,Straight Through Window
2015-10-28-13:17:19,Nozzle Off
2015-10-28-13:17:49,Ceiling Attack - 8' In
2015-10-28-13:18:50,Nozzle Off
2015-10-28-13:19:20,Ceiling Attack - Just inside Window
2015-10-28-13:20:20,Nozzle Off
2015-10-28-13:21:21,End Test
