,Time,Event,Elapsed_Time,CFM_Avg
0,2015-10-26-16:40:24,Background,0.0,-483.5413336245934
1,2015-10-26-16:41:26,SB Fixed,62.0,3333.046555584633
2,2015-10-26-16:42:26,SB 'O',122.0,9119.306209329485
3,2015-10-26-16:43:26,SB 'Z',182.0,9422.124659444247
4,2015-10-26-16:44:27,SB 'n',243.0,9628.257591371581
5,2015-10-26-16:45:27,Nozzle Off,303.0,NaN
