,Time,Event,Elapsed_Time,CFM_Avg
0,2015-10-29-14:36:17,Background,1.0,-62.89083880072413
1,2015-10-29-14:37:17,At Wall,61.0,-2561.765527704755
2,2015-10-29-14:38:18,Nozzle Off 1,122.0,-622.2123180566733
3,2015-10-29-14:39:19,Min Angle - Ceiling,183.0,-137.75607439751076
4,2015-10-29-14:40:20,Nozzle Off 2,244.0,799.251319555232
5,2015-10-29-14:41:21,Max Angle,305.0,-4259.978424430567
6,2015-10-29-14:42:21,Nozzle Off 3,365.0,-1276.6121937815976
7,2015-10-29-14:43:21,Narrow Fog Fixed,425.0,-7447.901828018914
8,2015-10-29-14:44:22,Nozzle Off 4,486.0,-118.07720108455504
9,2015-10-29-14:45:26,End Test,550.0,NaN
