Time,Event
2015-10-28-16:30:10,Background
2015-10-28-16:31:10,Straight Stream
2015-10-28-16:32:11,Straight Stream 'O'
2015-10-28-16:33:11,Narrow Fog
2015-10-28-16:34:11,Narrow Fog 'O'
2015-10-28-16:35:11,Nozzle Off
2015-10-28-16:36:11,End Test
