Time,Event
2015-10-28-10:00:24,Background
2015-10-28-10:01:43,Straight Stream
2015-10-28-10:02:43,Straight Stream 'O'
2015-10-28-10:03:44,Narow Fog
2015-10-28-10:04:45,Narrow Fog 'O'
2015-10-28-10:05:45,Nozzle Off
2015-10-28-10:06:47,End Test
