Time,Event
2015-10-26-17:32:48,Background
2015-10-26-17:33:48,Smooth Bore
2015-10-26-17:34:49,Smooth Bore 'O'
2015-10-26-17:35:49,Nozzle Off
2015-10-26-17:36:49,End Test
