Time,Event
2015-10-28-09:20:13,Background
2015-10-28-09:21:13,Straight Stream
2015-10-28-09:22:13,Straight Stream 'O'
2015-10-28-09:23:14,Narrow Fog
2015-10-28-09:24:14,Narrow Fog 'O'
2015-10-28-09:25:14,Nozzle Off
2015-10-28-09:26:15,End Test
