Time,Event
2015-10-26-16:30:21,Background
2015-10-26-16:31:21,Smooth Bore
2015-10-26-16:32:31,Smooth Bore 'O'
2015-10-26-16:33:32,Smooth Bore 'Z'
2015-10-26-16:34:36,Smooth Bore 'n'
2015-10-26-16:35:36,Nozzle Off
2015-10-26-16:36:37,End Test
