Time,Event
2015-10-26-16:08:34,Background
2015-10-26-16:09:34,Straight Stream
2015-10-26-16:10:34,Straight Stream 'O'
2015-10-26-16:11:34,Straight Stream 'Z'
2015-10-26-16:12:35,Straight Stream 'n'
2015-10-26-16:13:35,Narrow Fog
2015-10-26-16:14:36,Narrow Fog 'O'
2015-10-26-16:15:36,Nozzle Off
2015-10-26-16:16:36,End Test
