Time,Event
2015-10-26-17:37:54,Background
2015-10-26-17:38:55,Smooth Bore
2015-10-26-17:39:56,Smooth Bore 'O'
2015-10-26-17:40:56,Nozzle Off
2015-10-26-17:41:56,End Test
