Time,Event
2015-10-29-13:54:00,Background
2015-10-29-13:56:00,SS Advance
2015-10-29-13:56:25,End Straight Stream Advance
2015-10-29-13:57:25,SS Advance 'O' Pattern
2015-10-29-13:57:57,End Straight Stream 'O' Advance
2015-10-29-13:59:37,Narrow Fog Advance
2015-10-29-14:00:08,NF Advance
2015-10-29-14:00:39,NF Advance 'O' Pattern 
2015-10-29-14:01:11,End Narrow Fog Advance - 'O' Pattern
2015-10-29-14:02:11,End Test
