,Time,Event,Elapsed_Time,CFM_Avg
0,2015-10-28-16:52:19,Background,0.0,38.720763000279284
1,2015-10-28-16:53:20,Straight Stream,61.0,10.57882828718295
2,2015-10-28-16:54:20,'O' Straight Stream,121.0,1967.4294335339046
3,2015-10-28-16:55:20,Narrow Fog,181.0,1484.2362764530135
4,2015-10-28-16:56:21,'O' Narrow Fog,242.0,3412.8928303715966
5,2015-10-28-16:57:22,Nozzle Off,303.0,33.16981956195578
6,2015-10-28-16:58:22,End Test,363.0,NaN
