,Time,Event,Elapsed_Time,CFM_Avg
0,2015-10-28-17:55:14,Background,0.0,-908.3615996633082
1,2015-10-28-17:56:14,Straight Stream,60.0,3660.9856485937053
2,2015-10-28-17:57:14,Straight Stream 'O',120.0,7684.233193209904
3,2015-10-28-17:58:15,Narrow Fog,181.0,11849.692187705452
4,2015-10-28-17:59:15,Narrow Fog 'O',241.0,13479.28579061702
5,2015-10-28-18:00:15,Nozzle Off,301.0,252.39818438532072
6,2015-10-28-18:01:15,End Test,361.0,NaN
