,Time,Event,Elapsed_Time,CFM_Avg
0,2015-10-28-13:42:45,Background,1.0,-472.6138443265154
1,2015-10-28-13:43:46,Straight Through Window,62.0,8549.742962430411
2,2015-10-28-13:44:46,Nozzle Off,122.0,1183.3645722700644
3,2015-10-28-13:45:17,Ceiling Attack - 8' Inside Window,153.0,7200.071961986089
4,2015-10-28-13:46:18,Nozzle Off,214.0,-242.8930415894661
5,2015-10-28-13:46:48,Ceiling Attack - Directly Inside Window,244.0,5771.785198436969
6,2015-10-28-13:47:49,Nozzle Off,305.0,468.70551770577225
7,2015-10-28-13:48:49,Nozzle Off,365.0,NaN
